fold,label_fraction,split,stratum,users,fraction,overall_users,overall_fraction,abs_frac_diff
0,0.05,train_fraction,26-27,1,0.05,17,0.03339882121807466,0.016601178781925345
0,0.05,train_fraction,28-29,1,0.05,21,0.0412573673870334,0.008742632612966601
0,0.05,train_fraction,30-31,1,0.05,11,0.021611001964636542,0.02838899803536346
0,0.05,train_fraction,32-33,3,0.15,18,0.03536345776031434,0.11463654223968565
0,0.05,train_fraction,34-35,2,0.1,22,0.043222003929273084,0.05677799607072692
0,0.05,train_fraction,36-37,0,0.0,20,0.03929273084479371,0.03929273084479371
0,0.05,train_fraction,38-39,0,0.0,13,0.025540275049115914,0.025540275049115914
0,0.05,train_fraction,40-41,1,0.05,14,0.0275049115913556,0.022495088408644403
0,0.05,train_fraction,42-43,2,0.1,23,0.04518664047151277,0.05481335952848723
0,0.05,train_fraction,44-45,0,0.0,12,0.023575638506876228,0.023575638506876228
0,0.05,train_fraction,46-47,0,0.0,17,0.03339882121807466,0.03339882121807466
0,0.05,train_fraction,48-49,0,0.0,14,0.0275049115913556,0.0275049115913556
0,0.05,train_fraction,50,0,0.0,10,0.019646365422396856,0.019646365422396856
0,0.05,train_fraction,51-55,0,0.0,33,0.06483300589390963,0.06483300589390963
0,0.05,train_fraction,56-60,0,0.0,28,0.0550098231827112,0.0550098231827112
0,0.05,train_fraction,61-65,0,0.0,2,0.003929273084479371,0.003929273084479371
0,0.05,train_fraction,66-67,0,0.0,1,0.0019646365422396855,0.0019646365422396855
0,0.05,val,10-11,5,0.049019607843137254,21,0.0412573673870334,0.007762240456103853
0,0.05,val,12-13,8,0.0784313725490196,37,0.07269155206286837,0.005739820486151237
0,0.05,val,14-15,12,0.11764705882352941,57,0.11198428290766209,0.005662775915867321
0,0.05,val,16-17,7,0.06862745098039216,37,0.07269155206286837,0.004064101082476207
0,0.05,val,18-19,4,0.0392156862745098,20,0.03929273084479371,7.704457028390871e-05
0,0.05,val,20-21,4,0.0392156862745098,24,0.047151277013752456,0.007935590739242653
0,0.05,val,22-23,4,0.0392156862745098,22,0.043222003929273084,0.004006317654763281
0,0.05,val,24-25,3,0.029411764705882353,15,0.029469548133595286,5.7783427712933266e-05
0,0.05,val,26-27,4,0.0392156862745098,17,0.03339882121807466,0.005816865056435146
0,0.05,val,28-29,5,0.049019607843137254,21,0.0412573673870334,0.007762240456103853
0,0.05,val,30-31,2,0.0196078431372549,11,0.021611001964636542,0.0020031588273816403
0,0.05,val,32-33,3,0.029411764705882353,18,0.03536345776031434,0.005951693054431988
0,0.05,val,34-35,4,0.0392156862745098,22,0.043222003929273084,0.004006317654763281
0,0.05,val,36-37,4,0.0392156862745098,20,0.03929273084479371,7.704457028390871e-05
0,0.05,val,38-39,2,0.0196078431372549,13,0.025540275049115914,0.005932431911861012
0,0.05,val,40-41,3,0.029411764705882353,14,0.0275049115913556,0.0019068531145267527
0,0.05,val,42-43,4,0.0392156862745098,23,0.04518664047151277,0.00597095419700297
0,0.05,val,44-45,3,0.029411764705882353,12,0.023575638506876228,0.005836126199006125
0,0.05,val,46-47,4,0.0392156862745098,17,0.03339882121807466,0.005816865056435146
0,0.05,val,48-49,3,0.029411764705882353,14,0.0275049115913556,0.0019068531145267527
0,0.05,val,50,2,0.0196078431372549,10,0.019646365422396856,3.8522285141954354e-05
0,0.05,val,51-55,6,0.058823529411764705,33,0.06483300589390963,0.006009476482144921
0,0.05,val,56-60,5,0.049019607843137254,28,0.0550098231827112,0.0059902153395739455
0,0.05,val,61-65,0,0.0,2,0.003929273084479371,0.003929273084479371
0,0.05,val,66-67,1,0.00980392156862745,1,0.0019646365422396855,0.007839285026387765
