split,stratum,users,fraction,overall_users,overall_fraction,abs_frac_diff
fold_4,36-37,1,0.0136986301369863,8,0.02168021680216802,0.007981586665181721
fold_4,38-39,2,0.0273972602739726,7,0.018970189701897018,0.008427070572075583
fold_4,40-41,1,0.0136986301369863,5,0.013550135501355014,0.0001484946356312862
fold_4,42-43,1,0.0136986301369863,9,0.024390243902439025,0.010691613765452725
fold_4,44-45,1,0.0136986301369863,5,0.013550135501355014,0.0001484946356312862
fold_4,46-47,3,0.0410958904109589,11,0.02981029810298103,0.011285592307977873
fold_4,48-50,1,0.0136986301369863,8,0.02168021680216802,0.007981586665181721
fold_4,51-55 | light,1,0.0136986301369863,5,0.013550135501355014,0.0001484946356312862
fold_4,51-55,2,0.0273972602739726,7,0.018970189701897018,0.008427070572075583
fold_4,56-65,1,0.0136986301369863,9,0.024390243902439025,0.010691613765452725
